track,artist,genres,followers,popularity,year
The Emptiness Machine,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27278789,91,2024
Iris,The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",2953155,87,1998
Every Breath You Take,The Police,"['album rock', 'classic rock', 'permanent wave', 'rock']",6446644,86,1983
Highway to Hell,AC/DC,"['australian rock', 'hard rock', 'rock']",29658710,84,1979
Sweet Child O' Mine,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",32058569,84,1987
Seven Nation Army,The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",3239030,82,2003
Numb,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27278789,88,2003
Creep,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",10738634,86,1993
Thunderstruck,AC/DC,"['australian rock', 'hard rock', 'rock']",29658710,83,1990
"Paint It, Black",The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",14553370,82,1966
Welcome To The Jungle,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",32058569,80,1987
In the End,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27278789,87,2000
Enter Sandman,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",28764756,80,1991
Back In Black,AC/DC,"['australian rock', 'hard rock', 'rock']",29658710,83,1980
Dream On,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",14721738,80,1973
Heart-Shaped Box,Nirvana,"['grunge', 'permanent wave', 'rock']",20562597,79,1993
Paradise City,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",32058569,78,1987
La Grange (2005 Remaster),ZZ Top,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'rock']",4511642,78,1973
T.N.T.,AC/DC,"['australian rock', 'hard rock', 'rock']",29658710,78,1976
Nothing Else Matters,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",28764756,78,1991
Losing My Religion,R.E.M.,"['alternative rock', 'athens indie', 'permanent wave', 'rock']",4755551,82,1991
